,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,252 Newton Dr | House For Sale,C5101835,for sale,Residential House,,20210202,,,"3,280,000",4,7,2,3500-5000,N,,,,"One-Of-A-Kind Brand Custom Built Nested In The Heart Of North York! Beautiful Lay Out,Expertly Crafted&amp;Lavishly Spent! 5900 Sqft Of Luxury Living, Chef Inspired Kitchen W/Top Of Line Appliances+Gas Cooktop+Island With Breakfast Area, Timeless &amp; Elegant Natural Stone Ext. Extensive Millwork T/O. Marble Flrs. Full Panelled Wall,Layerd Moulding.Priv. Mbdr Boasts Lux 6Pc Ens &amp; Walk-In.4 Large Ensuit At 2nd Level. Walk-Up L/L, Wet Bar W/ Wine Rm. S/S Appliances, Pantry W/Stove, Cameras, Coffered Ceiling, 2 Gas Fireplaces, 2 Skylights, Garage To The Main Floor, Lights Fixture, High Ceiling At Main And Second Floor.""",https://www.realmaster.com/en/toronto-on/252-newton-dr/newtonbrook-east-TRBC5101835?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"252 Newton Dr, Toronto, Ontario, M2M2P4"
1,31 Marlbank Rd | House For Sale,E5105375,for sale,Residential House,,20210205,,,"899,900",4,3,0,,E,,,,"**Must See**This 50-Ft Lot Backsplit Sweet Home Just Renovated From Top To Bottom With Luxury Design!!!  Generous Main Floor Living Space W/Cathedral Ceilings &amp; Huge Picture Window. Incredible Lower-Level Studio With 7'3 Ceilings. Private &amp; Quiet Backyard W/Lush Lawn Backing Onto Schoolyard. Walk To Lynngate Park &amp; Scarden Park . Close To All Amenities.**Dont Missed This One!!** All Elfs, All Window Coverings, Fotile Range Hood, S/S Stove, S/S Fridge, Garage Remote And Keys.""",https://www.realmaster.com/en/toronto-on/31-marlbank-rd/tam-oshanter-sullivan-TRBE5105375?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"31 Marlbank Rd, Toronto, Ontario, M1T1Y6"
2,283 Adelaide Street West 02 | Condo Apt For Sale,,for sale,Residential Condo Apt,,20210123,,,"1,339,000",3,2,1,1100-1500,SW,,,,"超值楼花转让，著名开发商Pinnacle International在市中心科技区地址283 Adelaide St W建造The PJ condo，40层以上接近顶层西南朝向室内面积1370平尺的3室2卫1书房1厅1储藏间。书房尺寸可做第四卧室，更高租金。户型方正布局合理无浪费空间，包全屋窗帘，预计明年春季入住。周围现房单价均价1200，这套单元仅叫价133.9万，抛去楼层和储藏间，单价仅900多。还等什么？快！快！""",https://www.realmaster.com/en/toronto-on/283-adelaide-street-west/02-RM1-37095?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"02 283 Adelaide Street West, Toronto, Ontario, M5V 2E2"
3,181 Alfred Ave | House For Sale,C5000708,for sale,Residential House,,20201126,,,"2,680,000",4,5,1,,S,,,,"Custom Built Home In The Heart Of Willowdale, Steps To No.1 Ranking Hollywood Public, Earl Haig Ss, Bayview Ms, Claude Watson For The Arts. Sought After South Facing Exposure. Thoroughly Renovated With 9' Ceiling On Main Fl, 2 Big Skylights, Hardwood Floor Through Out, New Painting, Granite Top In Kitchen, 2 Bedrooms With Ensuite Bath. Crown Molding, Finished Walk Out Basement To Sunny Backyard With Bedroom &amp; Bathroom &amp; Above Ground Windows, Existing Appliances, Elfs &amp; Window Coverings. 3-Yr Hrv System, Cac, Brand New Roof (Sept, 2020). Lawn Sprinkling System. Security Camera System ($7000 In Purchase Value) With 20 Security Sensors.""",https://www.realmaster.com/en/toronto-on/181-alfred-ave/willowdale-east-TRBC5000708?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"181 Alfred Ave, Toronto, Ontario, M2N3J3"
4,225 Sumach St | Condo Apt For Sale,,for sale,Residential Condo Apt,16,20210118,,,"729,000",2,2,0,800-899,SE,,,,"💥💥💥抄底捡漏💥💥💥 DuEast精品楼盘，现已交房，Corner户型，两面采光，近市中心大学校区， Dundas Square, 楼下有足球场，游泳馆，各种商铺，餐馆，绝对让你领略东区的全新现代完善社区。 2房，2卫，朝东南， 855平方尺+150平方尺阳台，15层以上，挥泪降价，只要$729,000，捡漏拼手快，速联！可以安排看房， 绝对是购买转楼花的最佳阶段。""",https://www.realmaster.com/en/toronto-on/225-sumach-st/RM1-36931?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"225 Sumach St, Toronto, Ontario, M5A3K3"
5,2181 Yonge St 2109 | Apartment For Sale,C5070103,for sale,Residential Apartment,20,20201222,,,"830,000",2,2,1,900-999,N,Owned,Ensuite,744.57,"undefined""",https://www.realmaster.com/en/toronto-on/2181-yonge-st/2109-mount-pleasant-east-TRBC5070103?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"2109 2181 Yonge St, Toronto, Ontario, M4S 3H7"
6,637 Lake Shore Blvd W 127 | Apartment For Sale,C5069989,for sale,Residential Apartment,1,20201222,,,"899,000",1,2,1,800-899,Sw,Owned103,None,545,"Newly Renovated Lavish Loft At Award Winning Art Deco Landmark! Magnificently Designed Open Concept Space. Brand New Stainless Steel Appliances Include A $7,000 Samsung Smart Fridge. Granite Countertops In Kitchen, Fireplace In Living Room. Standout Features Include:  Soaring 14' Ceilings, Nanotechnology Floor Tile Through-Out, Frameless Glass Shower, His/Her Sinks In Ensuite Bath, &amp; Powder Room For Guests. Over $50K In Renos! Superb Building Facilities: Fitness/Exercise Room, Party/Meeting Room, Hot Tub, 2nd Floor Patio &amp; Bbq, Visitor Parking &amp; 24 Hr Concierge. Steps To Beautiful Waterfront Trail/Park, Public Transportation &amp; Groceries At Your Doorstep.""",https://www.realmaster.com/en/toronto-on/637-lake-shore-blvd-w/127-niagara-TRBC5069989?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"127 637 Lake Shore Blvd W, Toronto, Ontario, M5V3J6"
7,386 Yonge St 3812 | Apartment For Sale,C4956065,for sale,Residential Apartment,35,20201016,,,"799,800",1,1,1,600-699,W,None,Owned,464.94,"Prestigious Aura - One Of The Canada's Tallest Residential Tower. High-Floor, Upgraded Suite With Spectacular South West Cn Tower &amp; Lake Views , Large Bedroom, Semi Ensuite, Multi-Purpose Den, Woodfloor Thr. Featuring 9 Foot Ceilings + Gorgeous Kitchen &amp; Modern Bathroom. Approx 696 Sqft. 40.000 Sqft Exe. Room. Direct Access To Subway. Connected Retail Corridor W/ 24H Supermarket. Walking Distance To Ryerson And U Of T, Hospitals And Financial District ... The Existing Appliances: Stainless Steel B/I (Fridge, Microwave Hoodfan, Dishwasher), Glasstop Stove And White Washer &amp; Dryer. All Existing Light Fixtures &amp; Roller Shades., One Locker Included.""",https://www.realmaster.com/en/toronto-on/386-yonge-st/3812-bay-street-corridor-TRBC4956065?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"3812 386 Yonge St, Toronto, Ontario, M5B0A5"
8,36 Lisgar St 819 | Apartment For Sale,C4895717,for sale,Residential Apartment,7,20200902,,,"427,900",1,1,0,0-499,Nw,Owned,None,361.69,"Welcome To 36 Lisgar St. Well Kept Spacious 1 Bedroom Condo, W/Parking Close To Elevators, Steps To Liberty Village, Shopping, Boutiques, Cafes,  Entertainment, Dining, Transit And Go. Includes S/S Appliances, B/I Microwave, Elf's, Washer/Dryer, Window Coverings, Amenities: Gym, Rooftop Patio, Concierge &amp; Security 24/7, Party Room, Games Room, Media Room. """,https://www.realmaster.com/en/toronto-on/36-lisgar-st/819-little-portugal-TRBC4895717?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"819 36 Lisgar St, Toronto, Ontario, M6J0C7"
9,343 O'connor Dr | Other For Sale,E4876327,for sale,Residential Other,,20200819,,,"2,480,000",,,,2800,,,,,"Over 5.5% Cap! Purpose-Built Legal Luxury Duplex! Professional Finished With Soundproof. Convenient Location. Mins To Subway And Dvp. 10 Mins To Downtown. Close To Park, Trail, Shopping &amp; Everything. Tasteful Design And Deco For Executive Rental, Incredible Cash Flow For Long Term Stable Income,  Around $13000/M Income.  Buy As An Investment Or Live In And Rent The Other Unit For $7500/M To Cover Your Mortgage. Live And Enjoy For Free! Two Sets Of Appliances, Two Laundries, Separated Gas Meters, And All Furniture Included. Seller Wa Running A Successful Airbnb Business Without Impact From Pandemic. Business Record Can Be Provided.  Rental Guarantee Can Be Negotiated.""",https://www.realmaster.com/en/toronto-on/343-oconnor-dr/east-york-TRBE4876327?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=105,"343 O'connor Dr, Toronto, Ontario, M4J 2V4"
