,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,200 Lawrence Ave W | House For Sale,C5122138,for sale,Residential House,,20210220,,,"1,399,000",2,2,2,,N,,,,"Rare Opportunity!!! Detached Lawrence Park Bungalow! Walk To Subway, All Amenities &amp; Pusateri's!!! Across From Lawrence Park Collegiate. Top Rated School Zone, Minutes To Hwy 401, Hospital, Public Transit. Live Or Build! Great Opportunity To Build 4 Bedroom Dream Home! Huge Potential!!! Steel Stove And Fridge, Dish Washer, Washer And Dryer. All Elf's And Window Covering.""",https://www.realmaster.com/en/toronto-on/200-lawrence-ave-w/lawrence-park-north-TRBC5122138?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"200 Lawrence Ave W, Toronto, Ontario, M5M1A8"
1,30 Evansville Rd | House For Sale,E5127004,for sale,Residential House,,20210224,,,"699,000",3,3,2,,W,,,,"Semi-Detached/Bungalow-Raised Sunfilled House Located In High-Demand Neighbourhood In Scarborough. Bsmt W/ Seperate Entrance. 3 Drive Park Spaces By Front Door. Upgraded Hwt, Furnance And Cac By 2016. Super Convenient Location!! Minutes To Ttc, Supermarket, Shopping Mall, Banks And Schools. Short Cut Street To Midland Behind House! Must See!  Extra High Income From Tenant. Fridge, Stove, Dishwasher, Washer/Dryer, All Window Coverings, Light Fixture.""",https://www.realmaster.com/en/toronto-on/30-evansville-rd/agincourt-north-TRBE5127004?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"30 Evansville Rd, Toronto, Ontario, M1V1L5"
2,49 East Liberty Street | Condo Apt For Sale,,for sale,Residential Condo Apt,27,20210219,,,"689,000",2,2,0,500-699,,,,,"Liberty village 两房公寓楼花转让， 近go train station ,  向北步行10分钟到 Trinity Bellwoods park （多伦多市中心最大公园） ,向南步行10分钟到安大略湖畔，旁边Metro 超市，  室内666 尺+ 43 尺阳台，27楼东北角朝向 。价钱包一个车位。 2021年5月交钥匙""",https://www.realmaster.com/en/toronto-on/49-east-liberty-street/RM1-38189?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"49 East Liberty Street, Toronto, Ontario, M6K 0A7"
3,633 Bay St 307 | Apartment For Sale,C5057951,for sale,Residential Apartment,3,20201206,,,"688,888",1,1,0,800-899,S,Exclusive,None,712.12,"847Sq. Ft. Condo With 1 Lg Bedroom + 1 Solarium, Located In The Heart Of Downtown Toronto. Laminate Wood Flooring &amp; Central Hvac. Includes Refrigerator, Stove &amp; Dishwasher; En-Suite Stacked Washer &amp; Dryer. Underground Parking Spot Included. Low Maintenance Fees &amp; Quality Management. Very Short Walk To Path, All Ttc Routes, Eaton Centre, Rejuvenated Yonge/Dundas Sq, Ryerson And Hospitals. Single Family Use, No Share Roomates. No Pets. New Decoration.  New Kitchen, Floor And Bathroom.""",https://www.realmaster.com/en/toronto-on/633-bay-st/307-bay-street-corridor-TRBC5057951?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"307 633 Bay St, Toronto, Ontario, M5G2G4"
4,95 Lake Shore Blvd E | Condo Apt For Sale,,for sale,Residential Condo Apt,45,20210211,,,"758,000",1,1,0,500-599,W,,No,,"楼花转让细节： 原价价格: $570,990 使用面积: 501 平尺 阳台: 111平尺 朝向: 西 （可以看湖景） 楼层: 45 没有车位和储藏室 管理费: $0.65 每平尺 拿钥匙：2022-02 叫价：$758,000 已付开放商：$114,198 封顶费：$10,000 地址：95 Lake Shore Blvd E, Toronto, ON, M5E 1Z2 项目介绍： SugarWharf 由顶级开发商Menkes开发的Sugar Wharf项目精品楼位于Yonge/Queens Quay E东北（95 LakeShore Blvd E），现有的LCBO所处的街区。整个项目占地4.7英亩，包括1个办公楼，5栋住宅楼外加一个2亩的新公园以及全新的小学。办公楼高25层，约76万3平方尺，而现在的LCBO也会被重新扩建，形成占地2万5平尺的市中心旗舰店。以此同时，楼内30万平尺的面积也会分配给零售业和餐饮业，随时为居民提供便利。5栋住宅楼层高介于65层到90层之间。整个项目建成后预计会提供4500个工作岗位，并满足8000个人的住房需求。整个项目预计7年全部完工。开发商最贴心设计的PATH可以使您和您的家人一年四季足不出户就可以享受上班，购物，健身，吃喝玩乐等等。 Sugar Wharf项目还配套了各种贴心的设施，比如楼下占地2.2英亩的新公园，以及为工作族家庭配备的Daycare和新小学。  楼内便利设施：  园景户外露台 合作/会议室 剧院室 爱好/艺术室 带厨房的宴会厅，餐厅和酒吧 露台烧烤和用餐区 室内吊床休息室 乐高客房 游戏休息室 室内游泳池 音乐房 24小时参加的大厅 健身中心 儿童派对室和游乐区 纺纱室 篮球场 有氧运动工作室""",https://www.realmaster.com/en/toronto-on/95-lake-shore-blvd-e/RM1-37852?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"95 Lake Shore Blvd E, Toronto, Ontario, M4L3P1"
5,50 Power St | Condo Apt For Sale,,for sale,Residential Condo Apt,,20210214,,,"866,000",2,2,1,800-899,W,,Yes,,"最新上市Home( Power + Adelaide)精品楼花转让，此靓盘是由Great Gulf 精心打造的超值楼盘。2室2卫加den(可做第3卧室)面积866平尺，朝向东(100%无遮挡)，价格包括车位和储藏室，管理费0.57/平尺，包水不包电，位于阿德莱德东和国会大厦街。地理位置交通方便，靠近购物区，咖啡厅，餐厅，电车，主要高速公路，酿酒厂区，圣劳伦斯市场和金融区的步行距离。家庭公寓为您提供真正的魅力和低调的社区的避风港，靠近市区所有便利生活。 Home Power Adelaide Condos位于古朴的科克敦（Corktown），地理位置优越，同时毗邻充满活力的市中心，并且步行即可到达迷人的酿酒厂区。该社区是学生，艺术家和年轻家庭的大熔炉，可以提供大量的人口统计信息。 Power St. 50的居民正在等待大量的当地设施，因为该地区有许多独特的餐馆和精品店。接近98/100的完美步行分数意味着居民可以步行到达他们所需的一切，甚至更多。 此靓盘从宽敞的双层高大堂到套房中的实心石英厨房台面，每个细节都到位，可让您称呼Home Condo为家。 Home Power阿德莱德公寓将拥有20,000平方英尺的便利设施，例如室外游泳池和绿色屋顶上的休息室，游戏室，社区花园，甚至是艺术家的工作室。Home Power 是由著名开放商GREAT GULF精心设计建造的高级精品公寓式酒店是就读众多市中心大学之一的学生的理想之选。鉴于该项目靠近专上教育，并且交通选择完善，学生可以选择步行或乘坐公共交通工具上课。 对于寻求高回报地点的投资者而言，该项目不仅在多伦多主要的学校附近，而且通勤时间短将使居民在金融区工作。 设施有宴会厅的活动室，24/7礼宾服务，瑜伽室，带蒸气室的更衣室，游戏室，社区花园，会议室和休闲室，室外壁炉和烧烤架，艺术家工作区，宴会厅，宠物水疗馆，室外游泳池，蒸气室。""",https://www.realmaster.com/en/toronto-on/50-power-st/RM1-37934?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"50 Power St, Toronto, Ontario, M5A3A6"
6,19 Hollywood Ave | Condo Apt For Sale,,for sale,Residential Condo Apt,,20200919,,,"798,000",1,2,1,,W,,,,"PearPlace Condos是位于多伦多Yonge和Sheppard的新公寓开发项目。  此靓盘是1+Den，2个卫生间，朝向西无遮挡，价格含车位和储藏室。Den可以做第二个卧室，整个布局合理户型方正，使用空间极佳！！！交楼日期2021年7月。  周边租金2300-2500加币!  住在Yonge-University-Spadina线上，Pearl Place Condos 非常适合上班族和留学生。 Pearl Place Condominium的步行分数为97/100，交通指数为94/100。  Pearl Place condos 近酒店还方便客人前往401高速公路。  区域设施 Sheppard＆Yonge拥有各种设施，使这个区域适合所有生活方式。 Yonge Street Condo酒店靠近Sheppard Center Shopping Mall购物中心，Kinto Ramen，Jack Astor's和Starbucks等众多餐馆以及Cineplex Cinemas Express Walk等有趣的活动场所。  该地区的学校是Cardinal Carter艺术学院，Earl Haig中学，Mckee公立学校和Willowdale中学。  https://youtu.be/r-m1lOQYFtM 轻轨🚈很快开通届时这里周边的房价以及租金价格都会增长，自住投资潜力无限！！""",https://www.realmaster.com/en/toronto-on/19-hollywood-ave/RM1-33120?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"19 Hollywood Ave, Toronto, Ontario, M2N5N6"
7,120 Parliament St 1813 | Apartment For Sale,C5127310,for sale,Residential Apartment,18,20210225,,,"519,000",1,1,0,1,E,554,No,409.72,"Brand New 1Bedroom Unit At East United Condos. The Large Balcony Offers An Abundance Of Natural Light And Gorgeous Views. Functional And Bright - Easily One Of The Best Layouts In The Building. Chic And Modern Design With Integrated Bosch Appliances. Perfect As An Investment Or For The Professional / Executive. Conveniently Close To Grocery Stores, Parks, And The Lake. Bosch Stainless Steel Fridge, Flat Electric Cooktop, Single Wall Oven, Hood Fan And Dishwasher, Washer &amp; Dryer. All Existing Electric Light Fixtures. Taxes Not Assessed""",https://www.realmaster.com/en/toronto-on/120-parliament-st/1813-moss-park-TRBC5127310?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"1813 120 Parliament St, Toronto, Ontario, M5A2Y8"
8,2800 Keele St #605 | Apartment For Sale,W5125862,for sale,Residential Apartment,7,20210224,,,"385,000",0,1,0,0-499,E,Common114,Owned,191.22,"Home Sweet Home, Pied Terre Luxury Suite, Waling Distance To Humber River Hospital, Shopping, Library, Parks, Highway #401 And Highway #400 All Electric Light Fixtures, Granite Counters, Laminate Flooring, Existing Stainless Steel Stove, Refrigerator, Dishwasher, Microwave Oven, Washer Dryer,""",https://www.realmaster.com/en/toronto-on/2800-keele-st/605-downsview-roding-cfb-TRBW5125862?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"#605 2800 Keele St, Toronto, Ontario, M3M 0B8"
9,69 Brookdale Ave | House For Sale,C5123583,for sale,Residential House,,20210222,,,"1,599,000",3,2,0,,S,,,,"* Fabulous South 25 By 110 Ft Lot In Bedford Park - Land Value * Steps To Yonge Shops &amp; Restaurants * Walk To Subway, Parks And John Wanless Public School * No Tree Issues - The Ideal Location To Build Your Dream Home * House Not Currently Habitable Would Require Extensive Structural Repairs * Property Sold 'As Is' With No Warranties * Ge Profile Stainless Steel Fridge, Oven, Microwave, Stainless Steel Kitchenaid Dishwasher, Kenmore Washer &amp; Dryer, All Elf (Exclude Chandeliers), Security System, All Heating &amp; Cooling Systems.""",https://www.realmaster.com/en/toronto-on/69-brookdale-ave/lawrence-park-north-TRBC5123583?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"69 Brookdale Ave, Toronto, Ontario, M5M1P2"
10,1 Bedford Rd 303 | Apartment For Sale,C5127331,for sale,Residential Apartment,3,20210225,,,"789,900",1,1,0,600-699,E,Owned64,Owned,551.25,"The Most Prestigious Address! Condo On One Bedford! Great Spacious Floor Plan And $$$ In Upgrades! Open Concept. Hardwood Floors Throughout. Large Full Length Balcony. Miele Top Of The Line Appliances, Granite Countertop In The Kitchen. Minutes To Walk To Yorkville, Bloor Street Boutiques? Shops, Restaurants, Museums. Luxury Amenities : Gym, Indoor Pool, Steam, Yoga, Billiard &amp; Party Rooms. 24 Hours Security. Fridge, Cooktop Oven, Dishwasher, Built-In Microwave, Washer, Dryer, All Electrical Light Fixtures. One Parking, One Locker.""",https://www.realmaster.com/en/toronto-on/1-bedford-rd/303-annex-TRBC5127331?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"303 1 Bedford Rd, Toronto, Ontario, M5R2J7"
11,20 Minowan Miikan Ln 418 | Apartment For Sale,C5127323,for sale,Residential Apartment,4,20210225,,,"650,000",2,2,0,600-699,SW,Owned,Owned,505,"2 Bdrms, 2 Baths, 1 Parking Spot, 1 Locker Located In Trend Queen West 9Ft Ceiling, Split + Bdrm Layout, W/O To Balcony, Master Bdrm &amp; Living Rm. Harwood  + Ceramics Tru-Out.  Floor To Ceiling Windows, Balcony - 6.36 X 1.96 M. Amenities Incl 24Hr Concierge, Guest Suites, Rooftop, Lounge, Billards &amp; Media Rm. Steps To Metro, Transit, Restaurants &amp; Trinity Park. Built-In S/S Appliances In Kitchen, Stack Washer/Dryer, All Elf's, Quartz Countertop In Kitchen, One Parking, One Locker. Status Certificate On Order.""",https://www.realmaster.com/en/toronto-on/20-minowan-miikan-ln/418-little-portugal-TRBC5127323?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"418 20 Minowan Miikan Ln, Toronto, Ontario, M6J0E5"
12,198 Chambers Ave | House For Sale,W5127022,for sale,Residential House,,20210225,,,"899,999",2,2,1,,W,,,,"Rare Opportunity In The Highly Desirable Keelesdale-Eglington Area. Beautiful, Bright, Very Well Maint'd 2 Bedroom Bungalow. Open Concept Din&amp;Kitch W/Walk-Out Patio. Updated Laminate/Ceramic Floors, Crown Moulding Throughout. Spacious Updated Modern Kitchen With S/S Appliances. Bsmt Apt W/Separate Front&amp;Back Entrance. Great Potential For Rental Income, 2 Car Parking, 3rd W/Payment To City. House&amp;Garage Roof 2020. 2 Fridges, 2 Stoves, Washer/Dryer.All Elf's And Window Coverings. Hot W/T (Rental). Pictures Were Taken Prior To The Tenant.** Seller And Brokerage Do Not Warrant Retrofit Status Of Bsmt Apt &amp; Garage**.""",https://www.realmaster.com/en/toronto-on/198-chambers-ave/keelesdale-eglinton-west-TRBW5127022?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"198 Chambers Ave, Toronto, Ontario, M6N3M6"
13,6 Frankfort Ave | House For Sale,W5125216,for sale,Residential House,,20210223,,,"999,000",3,3,2,,W,,,,"Welcome To The Jewel Of Rustic Community, Meticulously Kept 3+2 Brm Detached Home, Fully Reno From Top To Bottom, Hardwood Floors, Modern Kitchen, Glass Showers, Glass Handrail On Staircase, Pot Lights, Basement Apartment W/Separate Entrance: Never Used Kitchen, Master Brm W/Ensuite, Cali Shutters, Long Driveway With No Sidewalk, Pro Landscaped, Garage Converted To Studio W/Heat,Ac/Washroom Perfect For Working From Home, Quick Access To 401...Must See !! 2 Fridges, Stove, Cooktop Stove, All Electrical Light Fixtures, All Window Coverings, Washer &amp; Dryer""",https://www.realmaster.com/en/toronto-on/6-frankfort-ave/rustic-TRBW5125216?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"6 Frankfort Ave, Toronto, Ontario, M6L2Y2"
14,17 Arcade Dr | House For Sale,W5087174,for sale,Residential House,,20210116,,,"1,208,888",3,2,0,,N,,,,"An Oversized Bungalow In Chapman Estates. Come See This Much Loved Home With 3 Bedrooms, Large Eat In Kitchen , Finished Basement, Full 2nd Kitchen And Separate Entrance. Tree Lined Street With Little Traffic And Amazing Neighbours! All Saints School District. Roof (2018), Air Conditioner (As Is), Furnace (As Is), Window (As Is), Electrical (As Is), Hwt (Owned) Fridge, 2 Stoves, Woodburning Fire Place, Microwave, Dishwasher, Washer, Dryer, All Electrical Light Fixtures And All Window Coverings.""",https://www.realmaster.com/en/toronto-on/17-arcade-dr/humber-heights-TRBW5087174?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=33,"17 Arcade Dr, Toronto, Ontario, M9P2V8"
