,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,18 Brookfield Rd | House For Sale,C5074734,for sale,Residential House,,20210104,,,"6,280,000",5,7,1,5000+,N,,,,"*Hoggs Hollow Hidden Jewel**Truly Elegant*56X295Ft Ravine Lot W/Lg Table Land*Spectacular/Luxurious 4558Sf(1st/2nd)+Apx 2400Sf Of Bsmt*Completely Redone W/World Class Materials&amp;Designer Deco*Impeccable Craftsmanship W/Superb Flr Plan*Exquisite Millwork/Built-In Shelves/Panelling/C-Speakers*H-Ceiling At All Lvls*Breathtaking Million Dollars Muskoka Cottage Setting Bkyd/Tranquil-Priv/Treed W/Heated Swimming Pool/Stone Deck/Built In Bbq*Allows All Season Parties *Paneled Refrigerator,Gas Stove,Paneled B/I Dishwasher,Range Hood,F/L Washer/Dryer,Gas Fireplaces,Cvac,B/I Outdr Bbq W/Stone Patio,Designer Quality Swimming Pool,Halogen Lits,Hardwood Floor,Panelled Lib-Shelves,Inclusions/Exclusions(Sch D)""",https://www.realmaster.com/en/toronto-on/18-brookfield-rd/bridle-path-sunnybrook-york-mills-TRBC5074734?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"18 Brookfield Rd, Toronto, Ontario, M2P1A9"
1,67 Pembroke St | House For Sale,C5071563,for sale,Residential House,,20201228,,,"3,388,000",6,4,1,,E,,,,"**Spectacular-Captivating Victorian Mansion On 40X120Ft Land In Moss Park Of C-D/Tn--Rapidly Revitalizing Location:Endless Potential*Private Drvwy/Multi-Parking Available**Meticulously Maintained-Lovely Cared By Owner(Just Move-In Con)-Formal Principal Rms*Classic/Grand Strcse+Service Strcse*Spacious 6+1Bedrms-4Washrms-2Kitchen*Soaring Over 10Ft Ceiling(Main)-Stained Glass,Vitorian Wdtrim-Mouldings &amp; More-Potential Commercial Use*Sep Entrance To Bsmt *Upd'd S/S Fridge,Upd'd B/I Stove,Upd'd S/S B/I Dishwasher,Washer/Dryer,Upd'd Kit Cabinet/Countertop,S-S Appl,Centre Island,Upd'd Washrms,Gas Fireplace(Rec:Bsmt),Multi-Old Charm F/Pcs,Maintenance Free Slate Roof,Upg'd Elec Panel,Fenced Yd""",https://www.realmaster.com/en/toronto-on/67-pembroke-st/moss-park-TRBC5071563?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"67 Pembroke St, Toronto, Ontario, M5A2N9"
2,105 Hickorynut Dr | House For Sale,C5096492,for sale,Residential House,,20210128,,,"888,000",3,2,0,,E,,,,"Located In The Heart Of Pleasant View, Sitting On A Quiet Street, Mins To Highway 404, 401, Cherokee Public School, Our Lady Of Mount Carmel, St. Gerald Catholic School, Seneca, Fairview Mall, Shawnee Park,  Don Mills Subway, Ttc, Stores, Shopping Malls, All You Can List. Spacious And Fully Functional Layout. Living Room With Large Window And Look Out To The Front Yard. Walk Out To Patio, Walk-Out Basement W Separate Entrance, Decent Potential Rental Income! Appliances, Elfs, Window Coverings. Freezer In Basement Storage.""",https://www.realmaster.com/en/toronto-on/105-hickorynut-dr/pleasant-view-TRBC5096492?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"105 Hickorynut Dr, Toronto, Ontario, M2J4W6"
3,47 Tineta Cres | House For Sale,E5098699,for sale,Residential House,,20210130,,,"699,000",3,3,1,,S,,,,"Bright Open Concept 3 Bedroom W/ Finished Walkout Basement W/ Separate Entrance, That Can Easily Be Converted Into An Basement Apartment. Rarely 200 Feet Deep Lot With Private Yard &amp; 14.5' X 8' Deck. A Quiet Neighborhood Area Conveniently Located Near Schools, Scarborough Town Centre Mall, Public Transit And Hwy 401. Must See! Appliances:  Fridge,  Stove, Range Hood, Washer &amp; Dryer, Elfs. Garage Door Opener, Hwt (Rental)""",https://www.realmaster.com/en/toronto-on/47-tineta-cres/agincourt-south-malvern-west-TRBE5098699?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"47 Tineta Cres, Toronto, Ontario, M1S2Y5"
4,55 Ann O'reilly Road | Condo Apt For Sale,,for sale,Residential Condo Apt,20,20210125,,,"689,000",2,2,1,700-799,NE,,,458,"暗盘代售，Tridel打造，55 Ann O’reilly高级公寓，高层2+1户型，方正宽敞维护佳，视野开阔，大Oversized车位，可并排停两辆车！实价$689,900🔥🔥视频云看房+户型图Available。WX:Deven-chen""",https://www.realmaster.com/en/toronto-on/55-ann-oreilly-road/RM1-37157?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"55 Ann O'reilly Road, Toronto, Ontario, M2J 5B5"
5,20 Shore Breeze Dr 4604 | Apartment For Sale,W4996953,for sale,Residential Apartment,47,20201120,,,"1,169,990",2,2,1,1000-1199,N,Owned108D,Owned,736.24,"Welcome To Eau Du Soliel- Toronto's Most Luxurious Waterfront Condominium By Empire Communities. Fantastic Opportunity To Buy Direct From Builder. Soaring 9 Ft Smooth Ceilings, Gorgeous Views, State Of The Art Appliances, Parking And Locker Included. Resort Style Amenities Including Saltwater Pool, Lounge, Games Room, Gym, Yoga &amp; Pilates Studio,Dining Room, Garden And Party Room. Dont Miss Out! Pre-Engineered H/W Flooring Through-Out. Extended Kitchen Cabinetry: S/S Kitchen Appliances Package Include Stove, Fridge, D/W And Over The Range Microwave Hood Fan. Stacked White Washer And Dryer""",https://www.realmaster.com/en/toronto-on/20-shore-breeze-dr/4604-mimico-TRBW4996953?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"4604 20 Shore Breeze Dr, Toronto, Ontario, M8V0C7"
6,42 Charles St E Lph4902 | Apartment For Sale,C5098027,for sale,Residential Apartment,49,20210129,,,"1,499,000",2,3,1,1000-1199,SW,Owned,Owned,828.52,"Beautiful And Prestigious Penthouse Azure Layout In Casa2. 2 Bdrm+Den And Den Can Be Used As Br. Neverending Views Facing South,West And East. 10 Foot Ceilings, With Over 400Sqft Wrap Around Balcony. Over 100K Spent On High End Finishes Throughout W/ Marble Flr, Marble Accent Wall, High End Chandeliers, Marble Countertops&amp;Island W/ Gaggenau Appliances. Only Steps To Yonge&amp;Bloor, Uoft Campus, Ryerson U, Subways, Yorkville, And Many Top Restaurants! Window Coverings, All Electrical Light Fixtures, S/S Stove, S/S Oven, S/S Microwave, Gaggenau Fridge, Dishwasher, Range Hood, Washer, Dryer. Engineered Hardwood And Marble Throughout! Please Refer To Schedules For More Upgrades!""",https://www.realmaster.com/en/toronto-on/42-charles-st-e/lph4902-church-yonge-corridor-TRBC5098027?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"Lph4902 42 Charles St E, Toronto, Ontario, M4Y0B7"
7,2800 Keele St 427 | Apartment For Sale,W5093164,for sale,Residential Apartment,4,20210125,,,"530,000",1,1,0,600-699,N,Owned41,Owned,360.95,"Low Maintenance Fees! Immaculate, Bright, &amp; Spacious One Bedroom Unit Boasting 687 Sq Ft + 39 Sq Ft Balcony. The Sleek Galley Kitchen Equipped With Stainless Steel Appliances Leads Into The Open Floor Plan, Complete With Ensuite Laundry And Stainless Steel Appliances, Underground Parking, &amp; Locker. Incredible Quality Investment Property In The City. Steps To Humber River Hospital, Highways, Subway, &amp; Ttc At Doorstep. Not To Be Missed! Stainless Steel Fridge, Stainless Steel Stove, Stainless Steel Dishwasher &amp; Otr, Washer/Dryer. All Elfs. Exclude Drapes""",https://www.realmaster.com/en/toronto-on/2800-keele-st/427-downsview-roding-cfb-TRBW5093164?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"427 2800 Keele St, Toronto, Ontario, M3M2G4"
8,11 Charlotte St 508 | Apartment For Sale,C5082553,for sale,Residential Apartment,5,20210112,,,"775,000",2,1,0,700-799,NE,NoneNone,Owned,608.31,"A Spacious Luxury 2-Bedroom Suite Located In The Coveted King &amp; Spadina Area. This Bright Loft-Style Condo Unit Offers Over 760 Sqft Of Living Space. Features Include 9-Ft Exposed Concrete Ceilings, Concrete Feature Walls And Columns, Floor-To-Ceiling Windows, Quartz Countertop, Euro-Style Kitchen Cabinetry, Built-In Stainless Steel Kitchen Appliances, Gas Cooktop, And Gas Bbq On Balcony. 24Hrs Concierge, Exercise Room, Rooftop Terrace And Infinity Pool. S/S Fridge, Built-In Oven, Gas Cooktop, S/S Dishwasher, S/S Microwave, Stacked Washer &amp; Dryer, All Window Coverings, All Electrical Light Fixtures, Gas Bbq. One Locker Included.""",https://www.realmaster.com/en/toronto-on/11-charlotte-st/508-waterfront-communities-c1-TRBC5082553?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"508 11 Charlotte St, Toronto, Ontario, M5V0M6"
9,2301 Danforth Ave 104 | Apartment For Sale,E5064907,for sale,Residential Apartment,1,20201214,,,"693,850",1,2,0,700-799,E,Owned,Ensuite,496.51,"Brand New - This 2 Level Condo Features Ground Floor Open Concept Living Area With2 Pcs Bth; Lower Level Includes: Ensuite Storage Room, Private Bedroom W/ 4Pcs. Ensuite, Laundry, Den Area With W/O To Patio. Building Features: Fitness Center; Yoga Studio, Party Room With Kit &amp; Bar Area; Outdoor Rooftop Terrace Seating, Fire Pit, Bbq, Lounge Chairs &amp; With Spectacular Views Of Toronto's Skyline &amp; Lake Ontario. Purchase Direct From Builder. Included Are: Stainless Steel Fridge, Stove, Rang Hood/Microwave, Built-In Dishwasher; Front Load Clothes Washer &amp; Dryer. One Parking Spot.  Photos Virtually Staged For Illustration Purpose.""",https://www.realmaster.com/en/toronto-on/2301-danforth-ave/104-east-end-danforth-TRBE5064907?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"104 2301 Danforth Ave, Toronto, Ontario, M4C1K5"
10,2301 Danforth Ave 102 | Apartment For Sale,E5064531,for sale,Residential Apartment,1,20201214,,,"652,850",1,2,0,700-799,E,None,Ensuite,442.62,"Brand New Contemporary Urban Living. Feels Like A Townhome This 2 Level Condo Features Ground Floor Open Concept Living Area W/2Pc Bath &amp; Lower Level Private Bedroom With 4Pcs Ensuite, Laundry &amp; Den Area With W/O To Patio.  Building Features: Fitness Center; Yoga Studio, Party Room With Kit &amp; Bar Area; Outdoor Rooftop Terrace Seating, Fire Pit, Bbq, Lounge Chairs &amp; With Spectacular Views Of Toronto's Skyline &amp; Lake Ontario. Purchase From Builder. Included Are:  Stainless Steel Fridge, Stove, Rang Hood/Microwave, Built-In Dishwasher; Front Load Clothes Washer &amp; Dryer. Parking And Locker May Be Available -Inquire.""",https://www.realmaster.com/en/toronto-on/2301-danforth-ave/102-east-end-danforth-TRBE5064531?d=https://www.realmaster.com/en/for-sale/Toronto-ON?page=15,"102 2301 Danforth Ave, Toronto, Ontario, M4C1K5"
