,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,45 Carlton St 1409 | Apartment Sold Price,C5089098,sold,Residential Apartment,12,20210120,20210127,"880,000","875,000",2,2,1,1200-1399,N,Owned,None,946,"1300 Sq Ft. Fully Renovated Dec 2020. Bright, Open Kitchen, Modern Bathrooms, Custom Design And Finishing Throughout. Move-In Ready, Excellent For Wfh, Entertaining, Raising A Family. Prime Location, Near Subway, Across From Iconic Maple Leaf Gardens (A Flagship Loblaws). Walk Score 98, Close To Eaton Centre, Ryerson And Uoft. You Can't Beat This Neighborhood! Well Maintained Building With Outstanding Amenities, 24 Hr Security. Brand New Appliances. All Existing Appliances Inc. S/S Fridge, S/S Stove, D/W, Washer, Dryer. All Existing Elfs. One Parking Space. =&gt; More Info=&gt; Click Below=&gt; 'More Information' Or 'Multimedia' On Mobile.""",https://www.realmaster.com/en/toronto-on/45-carlton-st/1409-church-yonge-corridor-TRBC5089098?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"1409 45 Carlton St, Toronto, Ontario, M5B2H9"
1,33 Charles St E 2802 | Apartment Sold Price,C5097998,sold,Residential Apartment,28,20210129,20210203,"555,000","558,800",1,1,0,500-599,E,None,None,370.31,"Luxury Awaits At Your New Casa At Yonge &amp; Bloor As Soon As You Enter The Impressive 20 Ft Lobby Of This Modern 46-Storey Glass Tower.  With State-Of-The-Art Amenities And Executive 24 Hour Concierge Service, All The Conveniences Of Prime Downtown Living Unfolds.  Walking Distance To Subway, Yorkville, Uoft, Ryerson, Shops On Bloor, Groceries, Entertainment And So Much More.  Perfect To Work/Live/Play And For An Investment Opportunity. One Bedroom Suite, High Floor With 9'Ceiling, Soaring Floor-To-Ceiling Windows, Stunning City &amp; Lake Views, Wood Floors T/O, Marble Bath, Double Closet &amp; Massive Private Balcony.  Includes Stainless Steel Appliances &amp; Washer/Dryer.""",https://www.realmaster.com/en/toronto-on/33-charles-st-e/2802-church-yonge-corridor-TRBC5097998?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"2802 33 Charles St E, Toronto, Ontario, M4Y0A2"
2,24 Ryewood Dr | House Sold Price,W5098757,sold,Residential House,,20210129,20210203,"775,000","799,000",3,1,0,,N,,,,"Large  2 Storey ,3 Bedroom Semi  With Detached Garage And Private Mature Backyard . Updated  Eat In Kitchen. Combined Liv/Dining Room. Move In Or Update To Your Own Requirements. Great Location , Close To Transport, Schools And Shopping, Offers Anytime. Existing Fridge,Stove, Washer And Dryer, Elfs And Window Covers.""",https://www.realmaster.com/en/toronto-on/24-ryewood-dr/glenfield-jane-heights-TRBW5098757?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"24 Ryewood Dr, Toronto, Ontario, M3N1B8"
3,284 Bloor St W St W 803 | Apartment Sold Price,C5090904,sold,Residential Apartment,8,20210121,20210203,"575,000","580,000",1,1,1,600-699,N,None,Owned,673.8,"Introducing A Rarely-Offered 650 Sq Ft Condominium Suite In The Exclusive St.George Mews! Situated In The Desireable Annex, This Bright, Stylish 1 + Den Unit Overlooks A Quiet Parkette With Mature Trees. Beautifully Deisgned With Upgrades Throughout, This Modern Suite Has Been Featured In Style At Home Magazine. Just Steps From The St. George Subway, Arts And Culture Venues, Cafes And Restaurants, The Seller Ready To Discuss Appliances Upgrade With Offer. Inclusions:Washer &amp; Dryer, Fridge &amp; Stove, Dishwasher, Electrical Light Fixtures, Window Coverings &amp; Storage Locker.""",https://www.realmaster.com/en/toronto-on/284-bloor-st-w-st-w/803-annex-TRBC5090904?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"803 284 Bloor St W St W, Toronto, Ontario, M5S3B8"
4,80 Harrison Garden Blvd 723 | Apartment Sold Price,C5089041,sold,Residential Apartment,7,20210120,20210202,"545,000","538,000",1,1,1,600-699,W,Owned,None,495,"Luxury Tridel Condo @Yonge And Sheppard Area, Great Amenities :Indoor Golf, Indoor Swimming Pool, Bowling Alley, Billiard, Tennis Court, 2 Storey Lobby, 24 Hrs Concierge, 1Bedroom With Den, Den Can Be Use As 2nd Bdr,Freshly Painted, Perfect Layout, Close To Highway 401,10 Min Walk To Yong &amp; Sheppard Subway And Shops, 1 Parking Included, Bright South &amp; West View. Existing Light Fixtures, Window Coverings, Fridge, Stove, Dishwasher, Washer &amp; Dryer""",https://www.realmaster.com/en/toronto-on/80-harrison-garden-blvd/723-willowdale-east-TRBC5089041?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"723 80 Harrison Garden Blvd, Toronto, Ontario, M2N7E3"
5,150 East Liberty St 1110 | Apartment Sold Price,C5080371,sold,Residential Apartment,11,20210108,20210203,"545,000","580,000",1,1,0,500-599,S,Owned56,Owned,345.03,"Stunning I Bedroom With Balcony And 9 Ft Ceilings Located In The Trendy Liberty Village. Includes Parking And Locker. Lake View! This Vibrant Neighbourhood Has All The Hottest Restaurants, Shops, 24 Hr Metro. 24 Hr Fitness And So Much More!!! Short Distance To Streetcar, Go Train, Highways &amp; Minutes To The Downtown Core. Fridge, Stove, Dishwasher, Microwave, Washer, Dryer, Parking, Locker, Granite Counters, Undermount Sink, Floor To Ceiling Windows. Lake View!""",https://www.realmaster.com/en/toronto-on/150-east-liberty-st/1110-niagara-TRBC5080371?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"1110 150 East Liberty St, Toronto, Ontario, M6K3R5"
6,6 Berkindale Dr Ave | House Sold Price,C4958894,sold,Residential House,,20201019,20210203,"3,040,000","3,088,000",2,3,2,,E,,,,"Sought-After Bayview &amp; York Mills. 75.6' X 151' Building Lot Ready With Building Permit And Drawings( By Reputable Pmp Design)  For 6793Sqft Custom Built Home. Renovate Or Build Your Dream Home On This Fantastic  Lot In Highly Desirable Location. Close To All Amenities, Granite Club, Renowned Private Schools And High Ranked Public Schools, Highways, Hospitals, Shops &amp; Parks. Property Being Sold As-Is Where Is. Building Permit Approved And Drawings Included For Apprx 6800 Sqft Custom Home To Be Built.""",https://www.realmaster.com/en/toronto-on/6-berkindale-dr/ave-st-andrew-windfields-TRBC4958894?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"Ave 6 Berkindale Dr, Toronto, Ontario, M2L 1Z5"
7,30 Old Mill Rd 512 | Apartment Sold Price,W5079313,sold,Residential Apartment,5,20210108,20210202,"1,050,000","1,099,000",2,2,0,1200-1399,S,Owned32,Owned,1058.83,"Luxurious South-Facing 2 Bedroom Suite At Riverhouse Overlooks The Historic Old Mill And Provides Stunning Contemporary Aesthetics Throughout. Open Concept Layout, Designer Gourmet Kitchen With Centre Island, Living Room With Gas Fireplace &amp; Feature Wall Flanked By Custom Built-Ins. Spacious Master Includes Privacy Blackout Curtains, His &amp; Hers Closets &amp; Beautiful 6Pc Ensuite. 2nd Bdrm/Office Suits A Work From Home Space, With Walk-Out To Open Balcony. Sought After Building Known For Impressive Amenities &amp; Impeccable Grounds. Near The Tranquility Of The Humber River Trails/Parks, As Well As A Short Stroll To Lively Bloor West Shops/Dining &amp; Easy Access To Old Mill Subway. See Sch B Incls.""",https://www.realmaster.com/en/toronto-on/30-old-mill-rd/512-kingsway-south-TRBW5079313?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"512 30 Old Mill Rd, Toronto, Ontario, M8X0A5"
8,10 Park Lawn Rd 1007 | Apartment Sold Price,W5074358,sold,Residential Apartment,10,20210104,20210201,"685,000","694,888",2,2,0,800-899,Se,Owned114,Owned,593,"Bright Corner Unit With Huge Balcony. Views Of Toronto &amp; Lake. Convenient Location With Walk-In Distance To Metro, Lcbo, Starbucks &amp; More. Fantastic Lake Promenade Area With Parks &amp; Bike Trails. Unit Has Open Concept, 2 Bedrooms, 2 Baths. Only A Few Years Old. Fantastic Building With Top Class Amenities. Lowest Price For A Unit Like That. Currently Rented Until March @ $2,600/M. Vacant Possession On Closing. Make An Offer! All Existing Appliances And Window Coverings. Parking, Locker.// The Day Before Notice Please. Tenant Works From Home And Is Happy To Accommodate Showings Between 6:00-8:00 Pm Daily.""",https://www.realmaster.com/en/toronto-on/10-park-lawn-rd/1007-mimico-TRBW5074358?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"1007 10 Park Lawn Rd, Toronto, Ontario, M8Y 3H8"
9,121 Trudelle St 1112 | Apartment Sold Price,E5074636,sold,Residential Apartment,11,20210104,20210202,"496,000","499,995",2,2,0,1000-1199,W,Exclusive,None,826,"Professionally Renovated 2 Br&amp;2 Washroom Apt In High Demand Area. New Luxurious Modern Kitchen W/Granite Countertop, Undermount S/S Sink &amp; Backsplash. All New Flooring, Crown Moulding, New Modern Washrooms, New Classic Doors &amp; Baseboards &amp; New Quality Paint. Great Amenities. Excellent Opportunity To Live &amp; Love It. Maintenance Fee Includes: All Utilities, Ensuite Laundry, Large Master Br W/2Pc Ensuite &amp; W/I Closet. Visitor Parking. New S/S Fridge, New S/S Stove&amp; New S/S Dishwasher. Cloth Washer &amp; Dryer, All Elfs.""",https://www.realmaster.com/en/toronto-on/121-trudelle-st/1112-eglinton-east-TRBE5074636?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=44,"1112 121 Trudelle St, Toronto, Ontario, M1J3K4"
