,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,46 White Oak Blvd | House Sold Price,W5094751,sold,Residential House,,20210125,20210201,"2,125,727","1,799,000",3,2,0,,N,,,,"Best Kingsway Location. Great Bones, Spacious Rooms, Curb Appeal +++, Garage &amp; Grdn! All This Can Be Yours At An Entry Level Price Into One Of Toronto's Finest Neighbourhoods. Look Around &amp; You Will See Caring Families. All The Family Amenities Your Heart Desires...Skate, Swim, Rec Centre, Parks, Library, Subway, Dining, Etc. This Home Is A Jewel That You Can Renovate To Your Heart's Content Or Save For A Rainy Day. Superior 46' X 115' Lot. Hardwood Flooring, Gas Fireplace In Family Room, Main Floor Walk Out, Granite Countertops In Kitchen, Double Sink, Microwave, Stove, Fridge And Dishwasher. Exclude: Dining Room Chandelier And Upper Hall Chandelier. Sold As Is.""",https://www.realmaster.com/en/toronto-on/46-white-oak-blvd/kingsway-south-TRBW5094751?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"46 White Oak Blvd, Toronto, Ontario, M8X1J2"
1,264 Gilbert Ave | House Sold Price,W5095155,sold,Residential House,,20210126,20210202,"1,077,000","859,900",3,2,0,,W,,,,"All Brick Semi Provides The Perfect Lifestyle Opportunity With Open Concept Living/Dining, A Fully Renovated Modern Kitchen To Explore Your Culinary Talents &amp; Lrg Sunroom. Three Great Sized Bdrms &amp; Renovated Bathroom On The 2nd Floor Plus Fully Finished Basement With Family Room Provides Lots Of Space For The Work At Home Family. The Lower Level Has Tons Of Storage &amp; In-Law Suite Potential. Enjoy Garage Parking, A Lrg Front Porch &amp; Low Maintenance Backyard. Fridge, Stove, Dishwasher, Microwave, All Electrical Light Fixtures, All Window Blinds, Wardrobes In Master Bedroom, Wall A/C Units, Gas Boiler (19), Garage Door Opener.""",https://www.realmaster.com/en/toronto-on/264-gilbert-ave/caledonia-fairbank-TRBW5095155?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"264 Gilbert Ave, Toronto, Ontario, M6E4W7"
2,2596 Lake Shore Blvd W | House Sold Price,W5092458,sold,Residential House,,20210121,20210122,"2,560,000","2,688,000",4,5,0,3500-5000,N,,,,"True Craftsmanship &amp; Attention To Detail Are Evident In This Custom Build Modern Home. With Appr.5300 Sq Ft Of Living Space, An Open Concept Floor Plan With Soaring 22Ft Vaulted Ceilings &amp; Large Oversized Windows, Bring In An Abundance Of Light. A Chef's Kitchen With High End Appliances, Custom Cabinetry &amp; Large Pantry Opens To A Double Sided Fireplace &amp; Stunning Family Room. The Master Retreat Features A W/O To A Private Balcony &amp; Spa Like 5 Pc Ensuite. Finished Basement W/ Heated Floors, Wet Bar, Separate Media Room &amp; A Large Walkup To A Secluded Backyard. Minutes To Shopping, Restaurants, Hwys &amp; The Mimico Go. This Home Will Not Disappoint! Too Many Features To List. Excl. Hwt(If Rental)""",https://www.realmaster.com/en/toronto-on/2596-lake-shore-blvd-w/mimico-TRBW5092458?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"2596 Lake Shore Blvd W, Toronto, Ontario, M8V1G4"
3,88 Southwood Dr | House Sold Price,E5101930,sold,Residential House,,20210202,20210202,"1,750,000","1,499,000",3,2,1,,W,,,,"Stunning Prime Beach Home W/ Beautiful Curb Appeal. Perfect Blend Of Classic Beach Charm &amp; Tasteful Modern Reno's. Private Backyard Is The Perfect City Escape, Filled W/ Lush Trees &amp; Great Landscaping. This Home Offers Plenty Of Space For Entertaining W/ A Chefs Kitchen, Open Concept Dining &amp; Finished Rec Room In Bsmnt. Unbeatable Location Close To Shops On Kingston Rd &amp; Queen St, The Glen Stewart Ravine, Williamson Rd Ps, Malvern Collegiate &amp; The Lake! Incl. Fridge, Dw, Stove, Microwave, Washer, Dryer, Elfs, Blinds, Control 4/Sonos Sound System Wired Throughout, Media Room Speakers, Hwt (Rented). Excl. All Mirrors (Except Mirror In 2nd Flr Bathroom) Tv In Living Room, Chimnea In Backyard""",https://www.realmaster.com/en/toronto-on/88-southwood-dr/the-beaches-TRBE5101930?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"88 Southwood Dr, Toronto, Ontario, M4E2T9"
4,15 North Bonnington Ave | House Sold Price,E5086758,sold,Residential House,,20210117,20210203,"805,000","799,000",3,3,1,,E,,,,"Very Convenient Location For Everything, Good To Start For A Small Family, Separate Entrance, Finished Basement With Kitchen, Good Space For Parking In The Driveway..24 Hrs Notice For All Showings; A Must, Property Tenanted, Must Complete The Covid Form. Must Wear A Mask And Gloves. No More Than 2 Persons Per Visit Including The Realtor. Fridge, Stove, Washer Dryer Washer, Sellers Don't Warrant The Retrofit Status, Buyer And Agents Are To Verify All Measurements And Tax Info.""",https://www.realmaster.com/en/toronto-on/15-north-bonnington-ave/clairlea-birchmount-TRBE5086758?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"15 North Bonnington Ave, Toronto, Ontario, M1K 1X3"
5,467 Hounslow Ave | House Sold Price,C5101207,sold,Residential House,,20210202,20210202,"1,570,000","1,489,000",3,2,2,2000-2500,S,,,,"Welcome To 467 Hounslow Ave! Desirable Location Among Multi-Million $$$ Custom Homes!, Pride In Ownership! Warm And Cozy Bungalow, Located In The Heart Of North York! Rare Large Lot 50 Ft By 132 Ft, Upstairs Features Open Concept Living And Dinning Area, Large Chefs Kitchen W/ Central Vac &amp; Kick Plate. 3 Large Bdrms, 5 Pc Washroom W/His And Her Sinks. Lower Level Features In Law Suite W/... Suite With Separate Entrance To The Basement 2 Large Bedrooms And .. A Den, 2 Large Size Bdrms, Open Concept Living/ A Full Kitchen. Above Grnd Windows, Pot Lights, Vinyl Floor, Walk To Excellent Schools. Pls Exclude: Living Rm - 2 Round Wooden Mirrors Dining Rm Grey/White Mirror &amp; Bdrm Hallway Brown Mirror.""",https://www.realmaster.com/en/toronto-on/467-hounslow-ave/willowdale-west-TRBC5101207?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"467 Hounslow Ave, Toronto, Ontario, M2R1H9"
6,24 Weybourne Cres | House Sold Price,C5095560,sold,Residential House,,20210127,20210201,"3,580,024","3,489,000",3,4,2,2000-2500,N,,,,"Introducing This Year's Diamond Of The Season, A Custom-Built Home In Prestigious Lawrence Park. Designed By Peter Higgins &amp; Built By Moore Park Homes, Every Detail Was Considered From The Timeless Architecture To The Warm, Inviting Ambiance &amp; Luxurious Finishes. An Entertainer's Dream Home With Open Concept Main Floor Family Room And Kitchen, Opening Up To A Deep Backyard With Perennial Gardens. High Ceilings On Every Floor Allow For Ample Natural Light. Hi-Efficiency With Radiant In-Floor Heating Throughout. The Epitome Of Lawrence Park On A Beautiful 50X140Ft Lot W/Private Drive And Limestone Walkway. Steps From Trails, Parks, Top-Rated Schools, Ttc &amp; All That Yonge Street Has To Offer.""",https://www.realmaster.com/en/toronto-on/24-weybourne-cres/lawrence-park-south-TRBC5095560?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"24 Weybourne Cres, Toronto, Ontario, M4N2R3"
7,3 Rowntree Rd 2407 | Apartment Sold Price,W5096809,sold,Residential Apartment,23,20210128,20210202,"536,000","529,900",2,2,0,1200-1399,S,Owned109Owned110,Owned,749.28,"Rare Opportunity To Purchase A Penthouse Suite! Spacious 2 Bedroom Unit, Move In Ready. Beautiful Panoramic Views, You Can See The Cn Tower To The South, &amp; Canada's Wonderland To The North From Within Your Unit! Beautiful Kitchen With Granite Counter Tops, Laminate Floors, High Ceilings, Crown Mouldings, New Closet Doors, 2 Parking Spots And 1 Locker. What A Great Value! And You Get 24 Hour Gated Security. Don't Miss This Opportunity To Call This Your Home! Easy Access To Major Highways, Flexible Closing Date. Maintenance Fee Includes Utilities! Inclusions: Stainless Steel Fridge, Stove, Dishwasher And Clothes Washer And Dryer, 2 Parking Spots (Side By Side) And 1 Locker.""",https://www.realmaster.com/en/toronto-on/3-rowntree-rd/2407-mount-olive-silverstone-jamestown-TRBW5096809?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"2407 3 Rowntree Rd, Toronto, Ontario, M9V5G8"
8,88 Palace Pier Crt Ph 104 | Apartment Sold Price,W5091884,sold,Residential Apartment,12,20210122,20210202,"785,000","789,900",2,2,0,1000-1199,Sw,Owned04,None,823.35,"Rare Penthouse Level - 9' Height. 1155 Sf  Split Bedroom. Gas Stove, Gas Fireplace, Large Balcony With Gas Line For Bbq. California Shutters In Main Rooms. Real Hardwood Floors.  Large Kitchen With Full Height Cabinets.. Perfect For Couple, Work-At-Home, Downsizing From A House. Floor Plan Attached. Originally 2 Bed + Den. Redesigned To Allow Larger Living Room And Master.  2 Pets Allowed, No Weight Restrict. Parks, Bike Trails. Go Station Coming Soon Ss Fridge With Water + Ice Maker. Ss Gas Stove. Ss Dishwasher. Ss Microwave/Fan. Washer/Dryer. California Shutters In Master, Living, 2nd Bedroom. All Electrical Light Fixtures.""",https://www.realmaster.com/en/toronto-on/88-palace-pier-crt/ph-104-mimico-TRBW5091884?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"Ph 104 88 Palace Pier Crt, Toronto, Ontario, M8V4C2"
9,1070 Sheppard Ave W 415 | Apartment Sold Price,W5090502,sold,Residential Apartment,4,20210120,20210202,"650,000","679,900",2,2,0,900-999,Ne,Owned,None,723.52,"Absolutely Stunning And Rarely Offered 2 Bedroom Corner Suite With Huge 550Sqft Wrap Around Terrace, 2 Walk-Outs And Breathtaking South East To West Views. Offers Unique Entertainment Area. Ideally Located Right At The Subway, Minutes To 401/400 Hwys &amp; Major Shopping. Stainless Steel Kitchen Appliances: Fridge, Stove, Microwave, Dishwasher, Washer, Dyer.""",https://www.realmaster.com/en/toronto-on/1070-sheppard-ave-w/415-york-university-heights-TRBW5090502?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116,"415 1070 Sheppard Ave W, Toronto, Ontario, M3J0G8"
