,title,MLS ID,transaction_type,home_type,level,first day on market,last day on market,sold_price,list_price,bedrooms,bathrooms,den,sqft,exposure,parking,locker,maintanance fee,description,link,address
0,2220 Lake Shore Blvd W 307 | Apartment Sold Price,W5060200,sold,Residential Apartment,3,20201207,20210128,"524,000","538,880",1,1,0,600-699,N,Owned016,Owned,476.26,"Welcome To Modern, 634 Sqft Balcony One Bedroom Study Condo. This Spacious Unit Offers Open Concept Living, Dining &amp; Kitchen W/ Stainless Steel Appliance, Laminate Flooring Throughout, Ensuite Laundry Rm. Parking, Locker. It Is Located In Great Westlake Complex That Provides 24Hr Concierge Service &amp; Building Security Guard. Indoor Pool, Sauna, Guest Suites, Party Rm, Games Rm &amp; Rec Rm, Yoga Studio, Visitor Parking. Go Train, Lake &amp; Parks Only Steps Away. Shoppers, Metro, Lcbo, Starbucks &amp; More Within The Complex. Easy Access To Highway &amp; Minutes Away From Downtown Toronto. **Interboard Listing:  Oakville, Milton &amp; District R. E. Board**""",https://www.realmaster.com/en/toronto-on/2220-lake-shore-blvd-w/307-mimico-TRBW5060200?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"307 2220 Lake Shore Blvd W, Toronto, Ontario, M8V0C1"
1,275 Village Green Sq 3425 | Apartment Sold Price,E5085954,sold,Residential Apartment,34,20210115,20210129,"543,000","549,990",1,2,1,600-699,S,Owned32,Owned,427.01,"* Luxury Condo By Tridel Avani 2 * Bright &amp; Spacious * 1 Bedroom+Den With 2 Bathrooms * Open Concept Liv/Din/Kit * South Facing Balcony With Unobstructed View * Stainless Steel Appls * Granite Countertops * Laminated Floors Thru-Out * Upgrd Mirror Closet In Mbr * 24 Hrs Concierge * Amenities Include: Gym, Party/Meeting Rm, Guest Suites, Games Rm * Close To Public Transit, Toronto Public Library, Hwy 401, Mall, Kennedy Common Shopping Ctr, Parks, Etc. * Stainless Steel Appls: Fridge, Stove, B/I Dishwasher; Washer &amp; Dryer, Upgrd B/I Microwave Hood/Fan, All Existing Window Coverings. ** 1 Parking &amp; 1 Locker Included ** Maint Fee Includes Unlimited Internet ** Parking Space Across Elevator **""",https://www.realmaster.com/en/toronto-on/275-village-green-sq/3425-agincourt-south-malvern-west-TRBE5085954?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"3425 275 Village Green Sq, Toronto, Ontario, M1S 0L8"
2,88 Grangeway Ave 2601 | Apartment Sold Price,E5076000,sold,Residential Apartment,22,20210105,20210108,"448,000","449,000",1,1,0,600-699,SW,Owned59,Owned,483.63,"Excellent And Convenient Location Steps To Mccowan Light Train Station,401,Stc Shopping Mall. Spectacula Toronto Dt Skyline View,Huge Balcony,Sunfilld Unit,Laminate Floor Through Out.One Parking And One Locker Included ,Professionally Renovated ,New Floor In Master Bedroom, New Window Blinds,Vacant Unit For Easy Showing Stainless Steel Fridge, Smooth Top Stove, B/I Dishwasher, Range Hood, Washer, Dryer, All Elf, Window Blind, One Parking, One Locker Are Included In The Price.""",https://www.realmaster.com/en/toronto-on/88-grangeway-ave/2601-woburn-TRBE5076000?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"2601 88 Grangeway Ave, Toronto, Ontario, M1H 0A2"
3,250 Manitoba St 512 | Apartment Sold Price,W5060425,sold,Residential Apartment,5,20201207,20210128,"685,000","700,000",1,2,0,900-999,W,Owned40,Owned,735.52,"Rare Loft Living With Large Balcony With Gas Hook Up For Your Bbq, 1-Br &amp; Oversized Den/0Ffice Perfect For Working From Home. The Skylofts At Mystic Pointe Has Ttc Located At Your Front Door, 5 Min Walk To Mimico Go And Seconds To Gardiner, 427, And Qew Highways Make This One Of The Most Transit Friendly Places In The City. 17 Ft Windows Bring In The Light To This Fully Renovated Unit. New Flooring Throughout &amp; Updated Bathrooms/Kitchen.Dog Park Across Street All Appliances, Window Coverings, Light Fixtures, Tv Mount In Living Room.""",https://www.realmaster.com/en/toronto-on/250-manitoba-st/512-mimico-TRBW5060425?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"512 250 Manitoba St, Toronto, Ontario, M8Y4G8"
4,181 Village Green Sq 921 | Apartment Sold Price,E5082331,sold,Residential Apartment,9,20210112,20210128,"532,000","489,900",2,2,0,700-799,E,Owned,Owned,547.41,"Live The Luxury Lifestyle W/ 2 Bedroom And 2 Full Bath W/ All Amenities Surrounded In A Lovely Neighborhood. Very Nice Layout W/ Good Sized Bedrooms. Walking Distance To Public Transit, Shopping, Library, And More. Drive Off To Hwy 401 Within Minutes. Clean &amp; Ready For You To Move In. Ridge, Stove, Dishwasher, Microwave, Washer, Dryer, 1 Parking &amp; 1 Locker. Locker Very Conveniently Located As Soon As You Open The Locker Room Situated On The Same Level As The Parking Level.""",https://www.realmaster.com/en/toronto-on/181-village-green-sq/921-agincourt-south-malvern-west-TRBE5082331?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"921 181 Village Green Sq, Toronto, Ontario, M1S 0K6"
5,25 Town Centre Crt 3210 | Apartment Sold Price,E4985607,sold,Residential Apartment,28,20201109,20210127,"615,000","639,900",2,2,0,1000-1199,NW,Owned,Owned,648.63,"Absolutely Luxurious And Specious Large Sized Condo At The Heart Of Scarborough's City Centre.!! 'Centro' North Tower. Corner Unit With 2 Bedrooms + 2 Full Baths, Underground Parking+Locker Included. W/Breathtaking N/W View. It Is A Home That You Should Not Miss..! Open Concept Large Sized Living. Outstanding Building Amenities: Guest, Indoor Pool, Well Equipped Gym, 24-Hour Security, In-Suite Security, Walk To Ttc, Shops, Hwy 401 &amp; Scarboro Town Centre. **Floors And Paint New July 2020. S/Steel Fridge, S/S Stove, S/S Wine Fridge, S/S Dishwasher, And Designer S/S Vent Hood In Kitchen. White Washer And Dryer And All Existing Lighting Fixtures. Must See Don't Miss It..!!""",https://www.realmaster.com/en/toronto-on/25-town-centre-crt/3210-bendale-TRBE4985607?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"3210 25 Town Centre Crt, Toronto, Ontario, M1P 0B4"
6,20 Tubman Ave 2602 | Apartment Sold Price,C5090135,sold,Residential Apartment,26,20210121,20210128,"662,000","598,888",1,1,1,600-699,W,Owned32,Owned,435.12,"Don't Miss Out On This Modern 1 + Den Suite With Stunning South West Views Of The City Incl. The Cn Tower &amp; Lake + Large Balcony. The Wyatt Condos Is Located In The Regent Park Community Of Downtown Toronto. Designer Finishes Throughout ,9 Ft Ceilings, Laminate Floors Loft Style Feel W Plenty Of Sunlight.Excellent Amenities:Concierge, Party/Meeting Room, Gym, Theatre Room, Bike Room,Games Room, Rooftop Patio. Steps To Dundas,Queen,King &amp; College Streetcars S/S Electrolux Fridge, Oven/Range &amp; Over The Range Hood Fan, Panasonic Microwave, Built-In Dishwasher. Stacked White Lg Washer/Dryer. All Elf's.1 Parking &amp; 1 Locker Included.""",https://www.realmaster.com/en/toronto-on/20-tubman-ave/2602-regent-park-TRBC5090135?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"2602 20 Tubman Ave, Toronto, Ontario, M5A 0M8"
7,155 Beecroft Rd Ph212 | Apartment Sold Price,C5082208,sold,Residential Apartment,27,20210112,20210128,"588,800","588,800",1,1,1,600-699,E,Owned,Owned,485.38,"&lt;&lt; Absolutely Stunning!! Gorgeously Renovated!! Shows 10+Most Desirable 1 + 1 Layout At Broadway Two Condos Built By Award Winning Menkes! Approx 670 Sqft With Large Den That Used As 2nd Bedroom. Freshly Painted, New Kitchen Marble Counter Tops, S/S Appliances, New Vanity And Flooring. Prime North York Location With Direct Access To Subway, Top Restaurants, Shopping, Theaters, Mel Lastman Square And More!! This Condo Is A Must See! Extras:Spectacular Views! **Penthouse*Bright &amp;Spacious,High Ceilngs**Balcony Penths Level 31 Parking + Locker, Fridge, Stove, Built-In Dishwshr,Microwve,Washer/Dryer,New El Fxtrs.,New Blinds. Well Maintained Building In Prime North York Location .""",https://www.realmaster.com/en/toronto-on/155-beecroft-rd/ph212-lansing-westgate-TRBC5082208?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"Ph212 155 Beecroft Rd, Toronto, Ontario, M2N7C6"
8,1 Massey Sq 2611 | Apartment Sold Price,E5082802,sold,Residential Apartment,25,20210112,20210128,"443,000","439,800",2,1,0,900-999,W,Rental,Ensuite+Common,761,"Gorgeous View Of Toronto Skyline &amp; Cn Tower With Zero Blockage. Large, Bright And Specious. Close To Victoria Park Subway, School, Super Market, Walk-In Clinic &amp; Drugstore, Library, Golf Course, Parks And Many More. Shoppers World Plaza Also A 2 Min Drive Away. 20 Min Drive To Downtown Core, Uoft &amp; Ryerson University, Maintenance Fees Cover Basic Cable Tv, Water, Heat, Hydro, No Unwanted Bills. A Great Place To Live Like Home With A Low Price. Fridge, Stove, Elf's. Walk To Victoria Park Subway Station, Schools, Daycare, Metro, Lowes, Dollarama Loblaws, Beer Stores, L C B O All Are In Walking Distance. Great Potential For Future Appreciation In This Huge Complex.""",https://www.realmaster.com/en/toronto-on/1-massey-sq/2611-crescent-town-TRBE5082802?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"2611 1 Massey Sq, Toronto, Ontario, M4C5L4"
9,131 Torresdale Ave 102 | Apartment Sold Price,C4922783,sold,Residential Apartment,1,20200922,20210124,"550,000","599,990",2,2,0,1400-1599,SW,Exclusive2,Ensuite,1053.59,"Rare Spectacular Corner!!!! Buyer/Investors You Will Be Amazed By The Price Per Square Foot! **Ground Floor Unit! Best Of Both Condo Living And House! No Need To Take An Elevator! Live In This Grand Huge Condo In The Prestigious Hemisphere. Open Concept For You To Host Large Family Entertaining. Eatin Kitchen With Separate Family Room. Study Overlooking The Gardens. Floor To Ceiling Windows Gorgeous Views Of Greenery. Access From Hallway To Outdoor Space! Updated And Upgraded,Fridge,Stove,Dishwasher,Washer,Dryer,Electric Light Fixtures. Window Coverings. Maintenance Includes Utilities And High Speed Internet. Shabbat Elevator. Walking Distance To Shops,Schools,Parks Ttc And More!""",https://www.realmaster.com/en/toronto-on/131-torresdale-ave/102-westminster-branson-TRBC4922783?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=7,"102 131 Torresdale Ave, Toronto, Ontario, M2R3T1"
