,link
0,https://www.realmaster.com/en/toronto-on/46-white-oak-blvd/kingsway-south-TRBW5094751?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
1,https://www.realmaster.com/en/toronto-on/264-gilbert-ave/caledonia-fairbank-TRBW5095155?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
2,https://www.realmaster.com/en/toronto-on/2596-lake-shore-blvd-w/mimico-TRBW5092458?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
3,https://www.realmaster.com/en/toronto-on/88-southwood-dr/the-beaches-TRBE5101930?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
4,https://www.realmaster.com/en/toronto-on/15-north-bonnington-ave/clairlea-birchmount-TRBE5086758?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
5,https://www.realmaster.com/en/toronto-on/467-hounslow-ave/willowdale-west-TRBC5101207?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
6,https://www.realmaster.com/en/toronto-on/24-weybourne-cres/lawrence-park-south-TRBC5095560?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
7,https://www.realmaster.com/en/toronto-on/3-rowntree-rd/2407-mount-olive-silverstone-jamestown-TRBW5096809?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
8,https://www.realmaster.com/en/toronto-on/88-palace-pier-crt/ph-104-mimico-TRBW5091884?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
9,https://www.realmaster.com/en/toronto-on/1070-sheppard-ave-w/415-york-university-heights-TRBW5090502?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
10,https://www.realmaster.com/en/toronto-on/16-brookers-ln/1601-mimico-TRBW5086444?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
11,https://www.realmaster.com/en/toronto-on/40-panorama-crt/1109-mount-olive-silverstone-jamestown-TRBW5077256?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
12,https://www.realmaster.com/en/toronto-on/3520-danforth-ave/414-oakridge-TRBE5093748?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
13,https://www.realmaster.com/en/toronto-on/5-northtown-way/1704-willowdale-east-TRBC5083853?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
14,https://www.realmaster.com/en/toronto-on/5-mariner-ter/2206-waterfront-communities-c1-TRBC5081820?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
15,https://www.realmaster.com/en/toronto-on/560-front-st-w/326-waterfront-communities-c1-TRBC5056147?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
16,https://www.realmaster.com/en/toronto-on/255-richmond-st-e/205-moss-park-TRBC5002599?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
17,https://www.realmaster.com/en/toronto-on/401-queens-quay-w/511-waterfront-communities-c1-TRBC4976953?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
18,https://www.realmaster.com/en/toronto-on/38-hartland-rd/eringate-centennial-west-deane-TRBW5093052?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
19,https://www.realmaster.com/en/toronto-on/162-brooke-ave/bedford-park-nortown-TRBC5095723?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
20,https://www.realmaster.com/en/toronto-on/33-shore-breeze-dr/2001-mimico-TRBW5093634?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
21,https://www.realmaster.com/en/toronto-on/316-willard-ave/runnymede-bloor-west-village-TRBW5095783?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
22,https://www.realmaster.com/en/toronto-on/75-elder-ave/58-long-branch-TRBW5094234?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
23,https://www.realmaster.com/en/toronto-on/370-dixon-rd/414-kingsview-village-the-westway-TRBW5092508?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
24,https://www.realmaster.com/en/toronto-on/2964-islington-ave/9-humber-summit-TRBW5091424?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
25,https://www.realmaster.com/en/toronto-on/181-william-duncan-rd/5-downsview-roding-cfb-TRBW5083858?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
26,https://www.realmaster.com/en/toronto-on/160-flemington-rd/1405-yorkdale-glen-park-TRBW5079272?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
27,https://www.realmaster.com/en/toronto-on/21-bethany-leigh-dr/agincourt-north-TRBE5097939?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
28,https://www.realmaster.com/en/toronto-on/64-southwell-dr/banbury-don-mills-TRBC5095318?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
29,https://www.realmaster.com/en/toronto-on/25-cole-st/527-regent-park-TRBC5087131?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=116
30,https://www.realmaster.com/en/toronto-on/180-flora-dr/dorset-park-TRBE5094385?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
31,https://www.realmaster.com/en/toronto-on/8-mondeo-dr/1316-dorset-park-TRBE5092013?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
32,https://www.realmaster.com/en/toronto-on/20-bloorview-pl/311-don-valley-village-TRBC5089395?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
33,https://www.realmaster.com/en/toronto-on/5-rowntree-rd/1116-mount-olive-silverstone-jamestown-TRBW4997406?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
34,https://www.realmaster.com/en/toronto-on/8-trent-ave/605-east-end-danforth-TRBE5102569?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
35,https://www.realmaster.com/en/toronto-on/2150-lawrence-ave-e/1105-wexford-maryvale-TRBE5088289?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
36,https://www.realmaster.com/en/toronto-on/275-village-green-sq/321-agincourt-south-malvern-west-TRBE5078392?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
37,https://www.realmaster.com/en/toronto-on/121-trudelle-st/1811-eglinton-east-TRBE4997840?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
38,https://www.realmaster.com/en/toronto-on/150-sudbury-st/1512-little-portugal-TRBC5091260?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
39,https://www.realmaster.com/en/toronto-on/30-grand-trunk-cres/2703-waterfront-communities-c1-TRBC5065707?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=109
