,link
0,https://www.realmaster.com/en/toronto-on/40-jackson-pl/junction-area-TRBW5002831?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
1,https://www.realmaster.com/en/toronto-on/21-northfield-rd/woburn-TRBE5086192?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
2,https://www.realmaster.com/en/toronto-on/81-glenstroke-dr/agincourt-south-malvern-west-TRBE5086149?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
3,https://www.realmaster.com/en/toronto-on/128-dairy-dr/clairlea-birchmount-TRBE5084465?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
4,https://www.realmaster.com/en/toronto-on/526-bellamy-rd-n/woburn-TRBE5079238?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
5,https://www.realmaster.com/en/toronto-on/35-robingrove-rd/westminster-branson-TRBC5085539?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
6,https://www.realmaster.com/en/toronto-on/5740-yonge-st/306-newtonbrook-west-TRBC5064997?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
7,https://www.realmaster.com/en/toronto-on/5418-yonge-st/815-willowdale-west-TRBC4968925?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
8,https://www.realmaster.com/en/toronto-on/12-reid-manr/stonegate-queensway-TRBW4994655?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
9,https://www.realmaster.com/en/toronto-on/33-fordwich-cres/rexdale-kipling-TRBW5083118?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
10,https://www.realmaster.com/en/toronto-on/112-ennerdale-rd/caledonia-fairbank-TRBW4990431?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
11,https://www.realmaster.com/en/toronto-on/43-roseglor-cres/bendale-TRBE5087303?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
12,https://www.realmaster.com/en/toronto-on/181-ridgewood-rd/rouge-e10-TRBE5078376?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
13,https://www.realmaster.com/en/toronto-on/1239-dundas-st-w/401-trinity-bellwoods-TRBC5002038?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
14,https://www.realmaster.com/en/toronto-on/10-park-lawn-rd/401-mimico-TRBW4989645?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
15,https://www.realmaster.com/en/toronto-on/2-eva-rd/1729-etobicoke-west-mall-TRBW4930024?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
16,https://www.realmaster.com/en/toronto-on/3420-eglinton-ave-e/1004-scarborough-village-TRBE5085921?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
17,https://www.realmaster.com/en/toronto-on/50-verne-cres/7-malvern-TRBE4975986?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
18,https://www.realmaster.com/en/toronto-on/135-antibes-dr/504-westminster-branson-TRBC5082722?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
19,https://www.realmaster.com/en/toronto-on/100-harbour-st/1807-waterfront-communities-c1-TRBC5074548?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
20,https://www.realmaster.com/en/toronto-on/155-yorkville-ave/3007-annex-TRBC4993096?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
21,https://www.realmaster.com/en/toronto-on/112-george-st/1506-moss-park-TRBC5082504?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
22,https://www.realmaster.com/en/toronto-on/6-may-apple-ter/west-hill-TRBE5085133?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
23,https://www.realmaster.com/en/toronto-on/26-fermoy-rd/cliffcrest-TRBE5077624?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
24,https://www.realmaster.com/en/toronto-on/375-cook-rd/12-york-university-heights-TRBW5082864?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
25,https://www.realmaster.com/en/toronto-on/60-mendelssohn-st/221-clairlea-birchmount-TRBE5068772?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
26,https://www.realmaster.com/en/toronto-on/993-queen-st-w/226-trinity-bellwoods-TRBC5082382?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
27,https://www.realmaster.com/en/toronto-on/121-mcmahon-dr/1915-bayview-village-TRBC5080664?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
28,https://www.realmaster.com/en/toronto-on/25-grenville-st/1103-bay-street-corridor-TRBC5075049?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
29,https://www.realmaster.com/en/toronto-on/56-forest-manor-rd/1204-henry-farm-TRBC5068823?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=1
30,https://www.realmaster.com/en/toronto-on/503-beecroft-rd/1003-willowdale-west-TRBC5056657?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
31,https://www.realmaster.com/en/toronto-on/34-emerald-cres/new-toronto-TRBW4981689?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
32,https://www.realmaster.com/en/toronto-on/67-inwood-ave/danforth-village-east-york-TRBE5082442?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
33,https://www.realmaster.com/en/toronto-on/1733-queen-st-e/409-the-beaches-TRBE5084228?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
34,https://www.realmaster.com/en/toronto-on/151-village-green-sq/2304-agincourt-south-malvern-west-TRBE4974281?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
35,https://www.realmaster.com/en/toronto-on/17-dundonald-st/403-church-yonge-corridor-TRBC5081053?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
36,https://www.realmaster.com/en/toronto-on/10-navy-wharf-crt/2610-waterfront-communities-c1-TRBC4992869?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
37,https://www.realmaster.com/en/toronto-on/55-ann-oreilly-rd/1508-henry-farm-TRBC4966071?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
38,https://www.realmaster.com/en/toronto-on/260-doris-ave/1206-willowdale-east-TRBC4962444?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
39,https://www.realmaster.com/en/toronto-on/281-delta-st/alderwood-TRBW5084893?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
40,https://www.realmaster.com/en/toronto-on/110-grenadier-rd/roncesvalles-TRBW5078205?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
41,https://www.realmaster.com/en/toronto-on/27a-landour-ave/keelesdale-eglinton-west-TRBW5070846?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
42,https://www.realmaster.com/en/toronto-on/875-st-clarens-ave/dovercourt-wallace-emerson-junction-TRBW4841894?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
43,https://www.realmaster.com/en/toronto-on/66-shippigan-cres/don-valley-village-TRBC5081152?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
44,https://www.realmaster.com/en/toronto-on/1320-islington-ave/2207-islington-city-centre-west-TRBW5065716?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
45,https://www.realmaster.com/en/toronto-on/700-humberwood-blvd/1819a-west-humber-clairville-TRBW5063690?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
46,https://www.realmaster.com/en/toronto-on/1-massey-sq/1204-crescent-town-TRBE5074951?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
47,https://www.realmaster.com/en/toronto-on/75-bamburgh-cir/1118-steeles-TRBE5002061?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
48,https://www.realmaster.com/en/toronto-on/68-corporate-dr/2233-woburn-TRBE4972521?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
49,https://www.realmaster.com/en/toronto-on/240-broadway-ave/22-mount-pleasant-east-TRBC5080904?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
50,https://www.realmaster.com/en/toronto-on/639-lawrence-ave/103-englemount-lawrence-TRBC5079855?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
51,https://www.realmaster.com/en/toronto-on/109-front-st-e/613-moss-park-TRBC5075303?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
52,https://www.realmaster.com/en/toronto-on/88-scott-st/1204-church-yonge-corridor-TRBC5059208?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
53,https://www.realmaster.com/en/toronto-on/60-colborne-st/1203-church-yonge-corridor-TRBC5057164?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
54,https://www.realmaster.com/en/toronto-on/18-graydon-hall-dr/1906-parkwoods-donalda-TRBC5054247?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
55,https://www.realmaster.com/en/toronto-on/8-eglinton-ave-e/805-mount-pleasant-east-TRBC4889947?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
56,https://www.realmaster.com/en/toronto-on/71-priscilla-ave/runnymede-bloor-west-village-TRBW5084429?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
57,https://www.realmaster.com/en/toronto-on/12-westwynd-crt/willowridge-martingrove-richview-TRBW4994884?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
58,https://www.realmaster.com/en/toronto-on/98-pembroke-st/moss-park-TRBC5078385?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
59,https://www.realmaster.com/en/toronto-on/1410-dupont-st/801-dovercourt-wallace-emerson-junction-TRBW5071789?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=2
60,https://www.realmaster.com/en/toronto-on/15-zorra-st/607-islington-city-centre-west-TRBW5065758?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
61,https://www.realmaster.com/en/toronto-on/511-the-west-mall/1605-etobicoke-west-mall-TRBW5063200?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
62,https://www.realmaster.com/en/toronto-on/601-kingston-rd/306-the-beaches-TRBE5075698?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
63,https://www.realmaster.com/en/toronto-on/20-bruyeres-mews/1213-waterfront-communities-c1-TRBC5076271?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
64,https://www.realmaster.com/en/toronto-on/3-everson-dr/605-willowdale-east-TRBC5075451?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
65,https://www.realmaster.com/en/toronto-on/50-wellesley-st-e/1604-church-yonge-corridor-TRBC5072929?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
66,https://www.realmaster.com/en/toronto-on/275-yorkland-rd/1806-henry-farm-TRBC5068286?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
67,https://www.realmaster.com/en/toronto-on/35-empress-ave/407-willowdale-east-TRBC5054573?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
68,https://www.realmaster.com/en/toronto-on/12-yonge-st/2801-waterfront-communities-c1-TRBC5003627?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
69,https://www.realmaster.com/en/toronto-on/128-fairview-mall-dr/104-don-valley-village-TRBC4998052?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
70,https://www.realmaster.com/en/toronto-on/8-eglinton-ave-e/1501-mount-pleasant-west-TRBC4995875?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
71,https://www.realmaster.com/en/toronto-on/89-mcgill-st/2807-church-yonge-corridor-TRBC4985843?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
72,https://www.realmaster.com/en/toronto-on/20-golden-ave/roncesvalles-TRBW5060318?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
73,https://www.realmaster.com/en/toronto-on/20-shore-breeze-dr/3206-mimico-TRBW5079661?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
74,https://www.realmaster.com/en/toronto-on/2874-keele-st/405-downsview-roding-cfb-TRBW5075462?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
75,https://www.realmaster.com/en/toronto-on/636-evans-ave/44-alderwood-TRBW5003791?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
76,https://www.realmaster.com/en/toronto-on/75-emmett-ave/1703-mount-dennis-TRBW4982468?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
77,https://www.realmaster.com/en/toronto-on/160-alton-towers-cir/1704-milliken-TRBE5079083?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
78,https://www.realmaster.com/en/toronto-on/10-rodda-blvd/29-west-hill-TRBE5073885?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
79,https://www.realmaster.com/en/toronto-on/30-roehampton-ave/3203-mount-pleasant-west-TRBC5076762?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
80,https://www.realmaster.com/en/toronto-on/1030-king-st-w/925-niagara-TRBC4981939?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
81,https://www.realmaster.com/en/toronto-on/311-bay-st/5102-bay-street-corridor-TRBC4948561?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
82,https://www.realmaster.com/en/toronto-on/17-dundonald-st/401-church-yonge-corridor-TRBC4993293?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
83,https://www.realmaster.com/en/toronto-on/169-courcelette-rd/birchcliffe-cliffside-TRBE5055233?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
84,https://www.realmaster.com/en/toronto-on/511-the-west-mall/1809-etobicoke-west-mall-TRBW5075787?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
85,https://www.realmaster.com/en/toronto-on/43-hanna-ave/518-niagara-TRBC5078423?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
86,https://www.realmaster.com/en/toronto-on/250-queens-quay-w/407-waterfront-communities-c1-TRBC5065588?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
87,https://www.realmaster.com/en/toronto-on/1-stanland-dr/scarborough-village-TRBE5076293?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
88,https://www.realmaster.com/en/toronto-on/7-lorraine-dr/102-willowdale-west-TRBC5058219?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
89,https://www.realmaster.com/en/toronto-on/21-delabo-dr/york-university-heights-TRBW4956427?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=3
90,https://www.realmaster.com/en/toronto-on/460-adelaide-st-e/305-moss-park-TRBC4995071?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
91,https://www.realmaster.com/en/toronto-on/25-greenview-ave/1819-newtonbrook-west-TRBC4982270?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
92,https://www.realmaster.com/en/toronto-on/149-finch-ave-w/willowdale-west-TRBC5000863?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
93,https://www.realmaster.com/en/toronto-on/5785-yonge-st/ph201-newtonbrook-east-TRBC5078150?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
94,https://www.realmaster.com/en/toronto-on/30-roehampton-ave/2107-mount-pleasant-west-TRBC5077381?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
95,https://www.realmaster.com/en/toronto-on/180-markham-rd/406-scarborough-village-TRBE5079169?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
96,https://www.realmaster.com/en/toronto-on/1356-woodbine-ave/woodbine-lumsden-TRBE5079999?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
97,https://www.realmaster.com/en/toronto-on/17-hannaford-st/east-end-danforth-TRBE5078812?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
98,https://www.realmaster.com/en/toronto-on/131-torresdale-ave/2206-westminster-branson-TRBC4939868?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
99,https://www.realmaster.com/en/toronto-on/300-front-st-w/4203-waterfront-communities-c1-TRBC5074219?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
100,https://www.realmaster.com/en/toronto-on/10-connaught-ave/greenwood-coxwell-TRBE5084489?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
101,https://www.realmaster.com/en/toronto-on/4968-yonge-st/616-lansing-westgate-TRBC5076305?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
102,https://www.realmaster.com/en/toronto-on/35-delabo-dr/york-university-heights-TRBW4919018?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
103,https://www.realmaster.com/en/toronto-on/457-greenwood-ave-s/greenwood-coxwell-TRBE5076798?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
104,https://www.realmaster.com/en/toronto-on/8-mondeo-dr/1217-dorset-park-TRBE4998083?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
105,https://www.realmaster.com/en/toronto-on/151-dan-leckie-way/746-waterfront-communities-c1-TRBC5065211?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
106,https://www.realmaster.com/en/toronto-on/235-sherway-gardens-rd/2010-islington-city-centre-west-TRBW4999484?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
107,https://www.realmaster.com/en/toronto-on/89-mcgill-st/605-church-yonge-corridor-TRBC4988782?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
108,https://www.realmaster.com/en/toronto-on/6-eva-rd/1611-etobicoke-west-mall-TRBW5064675?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
109,https://www.realmaster.com/en/toronto-on/10-marsdale-cres/rouge-e11-TRBE5083053?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
110,https://www.realmaster.com/en/toronto-on/223-invergordon-ave/agincourt-south-malvern-west-TRBE5080260?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
111,https://www.realmaster.com/en/toronto-on/125-omni-dr/2330-bendale-TRBE5073520?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
112,https://www.realmaster.com/en/toronto-on/908-carlaw-ave/playter-estates-danforth-TRBE5068407?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
113,https://www.realmaster.com/en/toronto-on/228-bonis-ave/1703-tam-oshanter-sullivan-TRBE5061620?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
114,https://www.realmaster.com/en/toronto-on/90-scottfield-dr/819-milliken-TRBE4976358?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
115,https://www.realmaster.com/en/toronto-on/1-pemberton-ave/1805-newtonbrook-east-TRBC4978148?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
116,https://www.realmaster.com/en/toronto-on/123-eglinton-ave-e/913-mount-pleasant-west-TRBC4992035?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
117,https://www.realmaster.com/en/toronto-on/124-ashdale-ave/greenwood-coxwell-TRBE5083692?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
118,https://www.realmaster.com/en/toronto-on/104-marlow-ave/danforth-village-east-york-TRBE5082985?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
119,https://www.realmaster.com/en/toronto-on/35-bales-ave/1807-willowdale-east-TRBC5057567?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=4
120,https://www.realmaster.com/en/toronto-on/1060-sheppard-ave-w/419-york-university-heights-TRBW5067993?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
121,https://www.realmaster.com/en/toronto-on/2-anndale-dr/3110-willowdale-east-TRBC5072410?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
122,https://www.realmaster.com/en/toronto-on/5-concorde-pl/710-banbury-don-mills-TRBC4993884?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
123,https://www.realmaster.com/en/toronto-on/31-marlena-dr/west-hill-TRBE5074428?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
124,https://www.realmaster.com/en/toronto-on/51-weston-rd/junction-area-TRBW5081878?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
125,https://www.realmaster.com/en/toronto-on/140-bathurst-st/101-niagara-TRBC5083149?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
126,https://www.realmaster.com/en/toronto-on/5-eaton-park-lane-cir/7-lamoreaux-TRBE5076083?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
127,https://www.realmaster.com/en/toronto-on/318-arlington-ave/humewood-cedarvale-TRBC5083206?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
128,https://www.realmaster.com/en/toronto-on/85-east-liberty-st/1012-niagara-TRBC5063326?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
129,https://www.realmaster.com/en/toronto-on/41-thornbeck-dr/woburn-TRBE5081594?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
130,https://www.realmaster.com/en/toronto-on/15-laidlaw-st/th608-south-parkdale-TRBW4999476?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
131,https://www.realmaster.com/en/toronto-on/10-navy-wharf-crt/2810-waterfront-communities-c1-TRBC5074972?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
132,https://www.realmaster.com/en/toronto-on/102-goulding-ave-n/newtonbrook-west-TRBC5067572?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
133,https://www.realmaster.com/en/toronto-on/760-lawrence-ave-w/163-yorkdale-glen-park-TRBW5003137?d=https://www.realmaster.com/en/sold-price/Toronto-ON?page=5
